X,Y,fid,objectid,cam_num,notes,location,proj,xcoord,ycoord,created_us,created_da,last_edite,last_edi_1
-8528797.2223,4763894.1932,53,53,29, ,N Charles St - E Mulberry St,BPD Cameras,-76.61548899,39.294151, , , , 
-8528951.1772,4764023.2197,54,54,30, ,Cathedral St-W Franklin St,BPD Cameras,-76.616872,39.29504799, , , , 
-8529112.8132,4764017.8975,55,55,31, ,Park Ave - W Franklin St,BPD Cameras,-76.618324,39.295011, , , , 
-8529101.6812,4763874.9184,56,56,32, ,Park Ave-W Mulberry St,BPD Cameras,-76.618224,39.29401699, , , , 
-8529094.334,4763722.01660001,57,57,33, ,Park Ave - W Saratoga St,BPD Cameras,-76.61815799,39.29295399, , , , 
-8529261.4247,4763713.674,58,58,34, ,N Howard St - W Saratoga St,BPD Cameras,-76.619659,39.292896, , , , 
-8529274.1151,4763870.6032,59,59,35, ,N Howard St - W Mulberry St,BPD Cameras,-76.619773,39.29398699, , , , 
-8529276.8283,4764009.98170001,60,60,36, ,N Howard St-W Franklin St,BPD Cameras,-76.61979737,39.29495596, , , , 
-8529290.1451,4764190.223,61,61,37, ,N Howard St - W Centre St,BPD Cameras,-76.619917,39.296209, , , , 
-8529445.9923,4764129.95180001,62,62,38, ,N Eutaw St-George St,BPD Cameras,-76.62131699,39.29578999, , , , 
-8529558.7589,4763193.2789,63,63,39, ,S Paca St - W Baltimore St,BPD Cameras,-76.62232999,39.289278, , , , 
-8529426.8454,4763704.1806,64,64,40, ,N Eutaw St-W Saratoga,BPD Cameras,-76.62114499,39.29283, , , , 
-8529582.0248,4763703.0299,65,65,41, ,N Paca St - W Saratoga St,BPD Cameras,-76.622539,39.292822, , , , 
-8529585.5869,4763849.02720001,66,66,42, ,N Paca St-W Mulberry St,BPD Cameras,-76.62257099,39.293837, , , , 
-8529571.1155,4763502.5209,67,67,43, ,N Paca St - W Lexington St,BPD Cameras,-76.622441,39.29142799, , , , 
-8529739.2079,4763986.3959,68,68,44, ,N Greene St-W Franklin St,BPD Cameras,-76.623951,39.29479199, , , , 
-8529732.974,4763705.61900001,69,69,45, ,N Greene St - W Saratoga St,BPD Cameras,-76.62389499,39.29283999, , , , 
-8529439.6472,4764000.4925,70,70,46, ,N Eutaw St-W Franklin St,BPD Cameras,-76.62126,39.29488999, , , , 
-8529440.7804,4764260.2565,71,71,47, ,N Eutaw St - Druid Hill Ave,BPD Cameras,-76.62127018,39.29669586, , , , 
-8529432.8567,4763860.2466,72,72,48, ,N Eutaw St-W Mulberry St,BPD Cameras,-76.621199,39.29391499, , , , 
-8529595.0491,4764130.23960001,73,73,49, ,N Paca St - George St,BPD Cameras,-76.62265599,39.295792, , , , 
-8528960.6603,4764203.22730001,74,74,50, ,Cathedral St-W Centre St,BPD Cameras,-76.61695718,39.2962994, , , , 
-8528906.9155,4763487.2274,75,75,51, ,Center Plaza,BPD Cameras,-76.61647439,39.29132167, , , , 
-8528884.2232,4763122.95720001,76,76,52, ,Hopkins Plaza,BPD Cameras,-76.61627054,39.28878908, , , , 
-8528758.8172,4763228.94910001,77,77,53, ,Charles-Baltimore,BPD Cameras,-76.615144,39.28952599, , , , 
